opening_cluster,level_1,count
0,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6,74
0,e4 d5,21
0,e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7,18
0,e4 e6 d4 d5 Nc3 Nf6 e5 Nfd7,15
0,d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5,14
1,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6,278
1,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4,104
1,e4 e6 d4 d5 e5 c5 c3 Nc6,94
1,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5,65
1,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6,51
2,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5,115
2,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6,110
2,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6,91
2,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6,61
2,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 b5,58
3,e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4,33
3,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Bf5,30
3,e4 e5 Nf3 d6 d4 Bg4 dxe5 Bxf3,20
3,e4 e5 Nf3 Nc6 d4 d6 dxe5 dxe5,12
3,e4 e5 Nf3 Nf6 Nxe5 Qe7 d4 d6,12
4,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7,23
4,d4 d5,17
4,d4 d5 c4 e6 Nc3 Nf6 cxd5 exd5,16
4,d4 d5 c4 dxc4 e3 b5 a4 c6,14
4,d4 d5 c4 c6 Nf3 Nf6 Nc3 e6,11
